Date,Close,Return,Volume,EMA,MACD,RSI
2010-11-30,269.7187194824219,-0.003491577793339669,5347544,-0.001748673739258355,-3.2388448938692704,41.06385851566629
2010-12-01,284.0800170898437,0.05187631251939329,5631500,0.0017110027935578803,-2.125847765379035,57.26597161373647
2010-12-02,302.94873046875,0.06430763602520263,8704982,0.0057494952601156064,0.2755812260901962,69.23343802446504
2010-12-03,293.3046875,-0.03235162703313287,4569974,0.0032913583379705433,1.3845767948214416,59.98676764327075
2010-12-06,292.7804260253906,-0.0017890289391115826,2897378,0.002963591416868471,2.1958478857980026,59.52137881640309
2010-12-07,299.3846130371094,0.022306149156905763,4419858,0.004211498367838619,3.333264965010187,63.37600533664334
2010-12-08,294.9818725585937,-0.014815172505418705,3455026,0.0029839712147252434,3.83520201208961,59.32045780750489
2010-12-09,295.8204650878906,0.002838827943092934,2218402,0.002974607132684449,4.251647797613202,59.84750530217406
2010-12-10,295.5059814453125,-0.0010636550219305368,3072381,0.002714074090451224,4.50438414472535,59.53598597063655
2010-12-13,296.55426025390625,0.0035411258185448578,2109129,0.002767432266457265,4.734688319989061,60.27820359068012
2010-12-14,296.86871337890625,0.0010597943403062291,1924739,0.002657262077673327,4.8862540818624325,60.51218919929092
2010-12-15,292.46600341796875,-0.014941566291768526,4092046,0.0015218537957738527,4.598105048476327,55.57595199591433
2010-12-16,292.88531494140625,0.0014326835252900325,2847618,0.0015161008750974772,4.353396553550908,55.94455102954093
2010-12-17,289.111572265625,-0.01296843899930727,6701487,0.0005816144315874935,3.811022715258673,51.78044295542081
2010-12-20,288.27301025390625,-0.0029046934286171824,2839511,0.0003566913438323532,3.275761653379675,50.874272299916015
2010-12-21,287.9584655761719,-0.0010917303971386162,2159567,0.00026324477989874226,2.7939750733032724,50.517151678276036
2010-12-22,289.0067138671875,0.003633666230631773,1783578,0.0004806913251073249,2.468287729526139,51.733147829407365
2010-12-23,288.27301025390625,-0.002541935833493111,1311810,0.00028568312132665164,2.126461884430171,50.792305998188084
2010-12-24,287.22479248046875,-0.003642825142428861,297209,3.2230975277908896e-05,1.7507979169220107,49.40977110715212
2010-12-29,287.7488708496094,0.0018229652858887005,1164070,0.00014776222112376642,1.4783290041114583,50.140498687340305
2010-12-30,286.70050048828125,-0.003650004952738993,1015725,-9.72550158996374e-05,1.1643784709019656,48.62738029133666
2010-12-31,286.5956726074219,-0.0003657023610034168,1005760,-0.00011457419945471994,0.8967742225250959,48.4698721915195
2011-01-04,288.1681823730469,0.005471860053734579,4113247,0.0002458409136542671,0.8023354995728482,51.03219523261446
2011-01-05,290.0550537109375,0.006526469078759643,3496573,0.0006510427307578397,0.8697212735066842,53.988650121419155
2011-01-06,292.3611755371094,0.007919195113249934,4082361,0.0011199557876928135,1.0965691762718848,57.375851229414096
2011-01-07,294.0384521484375,0.005720607948093157,3228796,0.001416772056105739,1.3956023434301414,59.69961679538467
2011-01-10,290.0550537109375,-0.013639803061342968,1717398,0.00044538011304453206,1.2962193102244441,52.39407379356048
2011-01-11,295.7157592773437,0.01932797490950944,3551862,0.001663612035397107,1.6551496363979368,59.90324033475781
2011-01-12,295.8204650878906,0.0003540131857615049,3391199,0.0015791217870335197,1.9258533510629832,60.02883247210088
2011-01-13,298.6508483886719,0.009522426478946034,3248414,0.0020915930574794883,2.3417816717197297,63.368949622949074
2011-01-14,299.3846130371094,0.002453918083379687,2013784,0.002114968865602082,2.6994984000672275,64.20406182512205
2011-01-17,296.76385498046875,-0.008792356536928616,2630902,0.0014112704525355852,2.7399339587833538,59.02790248327649
2011-01-18,300.74725341796875,0.013333500904429686,1655888,0.0021804466107223017,3.0581538991303887,63.8044277800727
2011-01-19,297.0783386230469,-0.012274351940733869,3267234,0.0012478789622412585,2.9799437958286603,57.1910884459089
2011-01-20,289.4261169433594,-0.02609581516502703,2659475,-0.0005162303362921796,2.274274962146194,46.39077787910368
2011-01-21,293.72393798828125,0.014740284515346178,3275653,0.00046806094445868223,2.038328979657763,51.88644930092538
2011-01-24,293.409423828125,-0.0010713552003469241,1368080,0.00036874377382606246,1.8051527472152316,51.47061798321649
2011-01-25,296.9736633300781,0.01207447463448467,3031086,0.0011239522164491985,1.8862200724121863,55.79429208606035
2011-01-26,302.4245910644531,0.018188501442218393,3660724,0.0022248908761762433,2.3630708151529802,61.45083850230275
2011-01-27,309.6575927734375,0.023635186928728406,4364829,0.003606200298921544,3.2867338318044403,67.41005843398953
2011-01-28,310.6011047363281,0.003042319904317323,9986885,0.0035698209186244977,4.048211692809787,68.10275210278199
2011-01-31,309.34307861328125,-0.004058519730134191,3288203,0.003077669909027163,4.498322329732616,66.08581291205478
2011-02-01,316.5761413574219,0.02311283790080804,4488002,0.004370261392367864,5.376706639335964,71.34118661057205
2011-02-02,315.21337890625,-0.004313982808929032,4533610,0.003809987572929355,5.894916069395151,69.16648096665541
2011-02-03,306.9320068359375,-0.026623555898182744,5050117,0.0018465331554382517,5.573119804494695,57.66311195600762
2011-02-04,310.3914489746094,0.01120799256975264,3570934,0.002450498278942406,5.533455781181942,60.610253624963825
2011-02-07,313.745849609375,0.010749022498787633,2466930,0.002985886938287259,5.706908169323526,63.279474496937816
2011-02-08,311.22998046875,-0.008051136090649877,3151944,0.0022738209364203473,5.577071810702876,59.99565751149773
2011-02-09,300.5904846191406,-0.03478330374028341,3967352,-0.00011696130078634685,4.563057082347996,48.52690119849321
2011-02-10,307.6151428222656,0.023100643169918177,4158313,0.0013809486650655579,4.276972042634327,54.68600710101511
2011-02-11,312.6477966308594,0.016227841229145314,6559252,0.0023388127014578003,4.4055561809501,58.515810730759
2011-02-14,310.446044921875,-0.0070671886834661,214678,0.001731973902430452,4.280454658048313,56.27494804143948
2011-02-15,303.4214172363281,-0.022887462724330947,3561470,0.0001436231523168133,3.573291374214989,49.731412497264486
2011-02-16,304.67950439453125,0.004137763678481713,1711468,0.00040130963787583904,3.0788850262909477,50.83405283200487
2011-02-17,306.8812255859375,0.007200366524097349,3027690,0.0008399584692449688,2.832078495165945,52.78589730688128
2011-02-18,302.26806640625,-0.015146524619948353,4426616,-0.00019142753650943907,2.238435853937119,48.446182758804866
2011-02-21,299.7518310546875,-0.008359358269712626,2765387,-0.0007183908096193222,1.5470966528048393,46.2143698084234
2011-02-22,295.5579833984375,-0.014089863583318258,2526058,-0.0015810664724386083,0.653266449677858,42.68483168221301
2011-02-23,293.9853820800781,-0.005334993625277978,3545498,-0.0018232553210088902,-0.17992217873438676,41.407765781791205
2011-02-24,294.09014892578125,0.00035630405037353764,3281665,-0.0016826385873713143,-0.8222974277906587,41.533264271455145
2011-02-25,296.7112731933594,0.008873172497148278,1569326,-0.0010016185174023084,-1.1071194343066395,44.72325435736161
2011-02-28,298.0743103027344,0.004583297017484157,3392875,-0.0006413013861193106,-1.2089215283014596,46.36216940324947
2011-03-01,293.14654541015625,-0.016670179886784348,3807829,-0.0016754225797106035,-1.6680021742488975,41.56417117681406
2011-03-02,291.7834777832031,-0.0046606261953396665,3826035,-0.0018680163613640915,-2.1174069106969,40.321142159679894
2011-03-03,294.4046630859375,0.008943213246371307,2851194,-0.0011705176769940659,-2.2362772423318233,43.80171108893462
2011-03-04,291.6788024902344,-0.00930202065391353,2881856,-0.0016951307722791926,-2.5213721964912565,41.11616310109099
2011-03-07,288.6381530761719,-0.010479367218654832,3312269,-0.0022618557043034273,-2.9585625303989787,38.295586149240286
2011-03-08,287.2752990722656,-0.004732851933923514,4468556,-0.00242127481589182,-3.376092455790456,37.068163559074826
2011-03-09,283.5008544921875,-0.013225848964207042,4588222,-0.0031183441157831247,-3.965838347248223,33.83382898927906
2011-03-10,285.2832336425781,0.006267351783725585,4871350,-0.0025128153480728855,-4.240511140840681,36.64505717847717
2011-03-11,283.8154296875,-0.005158357607724253,5095752,-0.0026834954938568445,-4.524475483908361,35.31440475295484
2011-03-14,277.00048828125,-0.024304862487076043,4396525,-0.00407842239664518,-5.239035745398326,29.887866202577474
2011-03-15,275.74224853515625,-0.0045527216754159975,6619591,-0.004109022350114265,-5.839544696448968,29.001768835955588
2011-03-16,271.2338562011719,-0.016485160484104117,4252983,-0.004907482874887804,-6.603125232359787,26.024537743531855
2011-03-17,272.9114685058594,0.006166064629413793,3261137,-0.004193060455255443,-6.992296177985963,28.947492234239657
